0,1,2,3,4,,
036460 KS,AWK UN,55,548,6.648732185,,
036460 KS,ORA UN,33,460,6.738573074,,
036460 KS,CWEN UN,55,422,6.755839825,,
036460 KS,OGE UN,55,417,6.718826771,,
036460 KS,BEPC UN,55,410,6.644639969,,
015760 KS,BIPC UN,9,394,6.670807123,,
036460 KS,CEG UW,65,378,6.617317915,,
036460 KS,POR UN,55,329,6.637535095,,
036460 KS,BIPC UN,65,328,6.715808153,,
036460 KS,CWT UN,55,321,6.732347012,,
036460 KS,YORW UW,39,316,6.729467869,,
036460 KS,WTRG UN,55,311,6.696080923,,
036460 KS,NWN UN,30,306,6.70441699,,
015760 KS,LNT UW,55,287,6.709364891,,
015760 KS,YORW UW,39,279,6.677033901,,
036460 KS,NI UN,43,274,6.715929985,,
015760 KS,ATO UN,55,262,6.681167841,,
036460 KS,HE UN,0,261,2.174288034,,없다가 생긴
036460 KS,PEG UN,67,257,6.663970947,,
036460 KS,PNM UN,8,255,6.675076962,,
036460 KS,OTTR UW,55,253,6.680111885,,
036460 KS,NWE UW,55,252,6.65186286,,
015760 KS,AES UN,65,245,6.697402239,,
015760 KS,AES UN,65,245,6.714660883,,
036460 KS,UTL UN,53,242,6.793932199,,
036460 KS,CNP UN,43,232,6.699633837,,
036460 KS,HE UN,0,229,6.62680769,,=
036460 KS,VIA UW,19,227,6.654875994,,
036460 KS,SO UN,9,227,6.736237049,,
036460 KS,AWR UN,55,220,6.652416706,,
015760 KS,WTRG UN,55,218,6.730409145,,
015760 KS,CWEN UN,35,218,6.635473967,,
036460 KS,NJR UN,43,217,6.649972916,,
036460 KS,FE UN,61,211,6.749526024,,
015760 KS,VST UN,1,208,2.173674107,,생길까 말까
036460 KS,SRE UN,61,208,6.716094017,,
015760 KS,AWK UN,55,203,6.730149984,,
036460 KS,AVA UN,43,202,6.651131153,,
036460 KS,NRG UN,5,201,2.173964977,,
015760 KS,CPK UN,69,199,6.728154182,,
036460 KS,WEC UN,43,197,6.633263111,,
015760 KS,ARTNA UW,69,195,6.657099009,,
015760 KS,SJW UN,73,194,6.766576767,,
036460 KS,UGI UN,0,186,2.174304962,,
036460 KS,NRG UN,5,184,6.641260147,,=
015760 KS,PPL UN,55,182,6.761008024,,
036460 KS,ED UN,55,180,6.645785809,,
036460 KS,AGR UN,43,178,6.69105196,,
036460 KS,AGR UN,43,178,6.632266045,,
015760 KS,PCYO UR,14,178,6.728659868,,
015760 KS,OTTR UW,24,173,6.733572006,,
036460 KS,ARTNA UW,71,173,6.653541803,,
036460 KS,LNT UW,43,166,6.583726168,,
015760 KS,BKH UN,23,163,6.693165064,,
036460 KS,ATO UN,55,163,6.718780041,,
015760 KS,MSEX UW,33,162,6.658895254,,
036460 KS,ES UN,55,159,6.693137884,,
036460 KS,GWRS UQ,52,157,6.650254965,,
015760 KS,VST UN,65,157,6.753125906,,
015760 KS,ETR UN,55,154,6.754541874,,
036460 KS,IDA UN,43,153,6.689702749,,
036460 KS,AEP UW,43,152,6.677911043,,
036460 KS,AEP UW,43,152,6.642328024,,
015760 KS,AWR UN,28,152,6.731358051,,
015760 KS,ED UN,23,151,6.70306325,,
015760 KS,NJR UN,23,149,6.748970032,,
015760 KS,AGR UN,65,148,6.728284836,,
015760 KS,AGR UN,65,148,6.782898903,,
036460 KS,VST UN,65,148,6.667074919,,
036460 KS,UGI UN,30,143,6.703180075,,
015760 KS,CWT UN,55,140,6.749335051,,
015760 KS,EVRG UW,23,135,5.049108982,,
036460 KS,AEE UN,43,132,6.719254017,,
036460 KS,AEE UN,43,132,6.654168844,,
015760 KS,GWRS UQ,35,131,6.761498928,,
036460 KS,CPK UN,43,131,6.713165998,,
015760 KS,ALE UN,23,131,6.665616989,,
015760 KS,IDA UN,23,128,6.75189209,,
036460 KS,ETR UN,43,126,6.725248814,,
036460 KS,SWX UN,38,126,6.771541834,,
036460 KS,PPL UN,61,125,6.726638794,,
036460 KS,EVRG UW,43,124,4.998177052,,
015760 KS,MNTK UR,72,123,6.633831978,,
015760 KS,EIX UN,36,123,6.729999065,,
015760 KS,WEC UN,55,120,6.725666046,,
015760 KS,MGEE UW,23,119,6.748238802,,
015760 KS,PNW UN,23,119,6.701774836,,
036460 KS,PNW UN,30,118,6.623742104,,
036460 KS,NFG UN,19,118,6.671354294,,
015760 KS,SO UN,1,118,2.176755905,,
015760 KS,POR UN,23,118,6.688904762,,
015760 KS,VIA UW,4,115,2.189506054,,
036460 KS,PCYO UR,65,114,6.657928944,,
015760 KS,OGE UN,55,114,6.816066265,,
036460 KS,MNTK UR,72,112,6.606086016,,
015760 KS,PCG UN,48,110,6.730268955,,
036460 KS,EIX UN,55,108,6.636681318,,
036460 KS,PCG UN,46,107,6.639685869,,
036460 KS,MGEE UW,43,103,6.676117897,,
036460 KS,NEE UN,43,102,6.650869846,,
015760 KS,NI UN,65,101,6.765202045,,
036460 KS,XEL UW,43,100,6.683124781,,
015760 KS,XEL UW,55,99,6.740519762,,
036460 KS,SJW UN,55,98,6.711297035,,
015760 KS,NFG UN,73,97,6.721396923,,
036460 KS,EXC UW,0,94,2.15344882,,
036460 KS,EXC UW,38,94,6.636438847,,
036460 KS,NJR UN,5,92,2.17679286,,
015760 KS,PEG UN,3,91,2.17374897,,
015760 KS,NWE UW,38,90,6.738085985,,
036460 KS,PEG UN,3,90,2.219209194,,
015760 KS,NRG UN,65,90,6.720328808,,
015760 KS,SWX UN,23,86,6.740632057,,
036460 KS,DTE UN,43,86,6.767457962,,
015760 KS,DTE UN,36,85,6.800086021,,
015760 KS,PEG UN,36,84,6.679076195,,
015760 KS,AEP UW,55,84,6.671615839,,
015760 KS,AEP UW,55,84,6.746834278,,
015760 KS,VIA UW,4,84,6.646883965,,
015760 KS,CMS UN,36,83,6.713279009,,
036460 KS,PNW UN,3,83,2.171089888,,
015760 KS,AES UN,3,83,2.232403994,,
015760 KS,AES UN,3,83,2.188131809,,
036460 KS,NOVA UN,62,82,6.586578131,,
036460 KS,ALE UN,0,81,2.170610905,,
036460 KS,D UN,43,80,6.687421799,,
036460 KS,ALE UN,28,79,6.665450096,,
036460 KS,DUK UN,13,78,6.773705244,,
015760 KS,ES UN,55,77,6.69184804,,
036460 KS,SO UN,3,77,2.202376366,,
015760 KS,OGS UN,23,76,6.649123192,,
015760 KS,SRE UN,23,76,6.727237225,,
015760 KS,D UN,38,75,6.716304779,,
036460 KS,AWK UN,2,75,2.171768904,,
036460 KS,MNTK UR,5,72,2.14485693,,
015760 KS,UTL UN,69,72,6.632225037,,
015760 KS,SO UN,1,71,6.706566095,,
015760 KS,NEE UN,65,71,6.771370173,,
015760 KS,EXC UW,23,68,6.728606939,,
015760 KS,HE UN,28,68,6.704532862,,
036460 KS,AES UN,55,68,6.692866802,,
036460 KS,AES UN,55,68,6.668612003,,
036460 KS,CMS UN,61,67,6.710278988,,
015760 KS,GWRS UQ,4,67,2.168303251,,
015760 KS,AVA UN,23,67,6.712001085,,
015760 KS,DUK UN,38,65,6.647152901,,
036460 KS,ETR UN,3,63,2.177085876,,
036460 KS,BKH UN,13,63,6.741487265,,
036460 KS,NI UN,0,60,2.241157055,,
015760 KS,FE UN,38,60,6.756861925,,
015760 KS,UGI UN,65,60,6.743097067,,
036460 KS,GWRS UQ,1,58,2.166615963,,
015760 KS,AEE UN,38,57,6.848855734,,
015760 KS,AEE UN,38,57,7.42319417,,
036460 KS,DTE UN,3,57,2.176348925,,
015760 KS,BEPC UN,52,57,6.64162302,,
036460 KS,VIA UW,3,55,2.171628952,,
015760 KS,PNM UN,63,54,6.731736898,,
036460 KS,UTL UN,1,53,2.173959017,,
015760 KS,PCG UN,6,52,2.184808969,,
015760 KS,IDA UN,3,52,2.179836273,,
015760 KS,PNW UN,3,52,2.178522825,,
015760 KS,EXC UW,0,50,2.158472061,,
015760 KS,PCYO UR,0,49,2.191522837,,
015760 KS,MSEX UW,7,49,2.173337936,,
036460 KS,SRE UN,0,48,2.186999083,,
015760 KS,ORA UN,48,48,6.647255182,,
015760 KS,CMS UN,3,47,2.17614603,,
015760 KS,ETR UN,3,47,2.198341131,,
015760 KS,NWN UN,73,47,6.676804781,,
036460 KS,SWX UN,0,47,2.187394142,,
036460 KS,OGS UN,68,44,6.746484995,,
015760 KS,CEG UW,51,43,6.6473701,,
036460 KS,AGR UN,0,42,2.17286396,,
036460 KS,AGR UN,0,42,2.181325912,,
036460 KS,AVA UN,3,42,2.140381813,,
015760 KS,XEL UW,3,41,2.188395977,,
036460 KS,ATO UN,0,40,2.17271018,,
015760 KS,LNT UW,3,40,2.154541016,,
036460 KS,BKH UN,3,39,2.157443762,,
015760 KS,ORA UN,0,38,2.176868916,,
015760 KS,WEC UN,3,38,2.174939156,,
036460 KS,MSEX UW,10,38,6.692929029,,
036460 KS,AEE UN,0,37,2.172852993,,
036460 KS,AEE UN,0,37,2.17471838,,
015760 KS,CNP UN,23,36,6.703120947,,
015760 KS,EVRG UW,3,35,2.1457932,,
015760 KS,EIX UN,3,35,2.178427696,,
036460 KS,XEL UW,3,34,2.154670954,,
036460 KS,NOVA UN,5,33,2.139247894,,
036460 KS,CNP UN,0,33,2.212030888,,
036460 KS,DUK UN,0,32,2.174010277,,
036460 KS,EVRG UW,0,31,2.210274935,,
036460 KS,PPL UN,0,31,2.169726133,,
036460 KS,IDA UN,0,30,2.154417276,,
036460 KS,D UN,3,30,2.220077038,,
015760 KS,NOVA UN,33,29,6.656336784,,
036460 KS,OGE UN,3,29,2.169613123,,
036460 KS,LNT UW,0,27,2.15854001,,
036460 KS,NWE UW,3,27,2.147025824,,
015760 KS,HE UN,4,25,2.179410219,,
036460 KS,AEP UW,0,25,2.184226036,,
036460 KS,AEP UW,0,25,2.15233016,,
036460 KS,WTRG UN,0,24,2.167384863,,
036460 KS,ORA UN,0,23,2.171580076,,
036460 KS,WEC UN,0,22,2.177694082,,
015760 KS,AWK UN,3,21,2.182255983,,
036460 KS,OTTR UW,3,21,2.170535088,,
015760 KS,AEE UN,1,21,2.22444582,,
015760 KS,AEE UN,1,21,2.178470135,,
015760 KS,DTE UN,3,20,2.175697088,,
036460 KS,NEE UN,3,20,2.177657127,,
036460 KS,NFG UN,0,20,2.186335087,,
036460 KS,YORW UW,1,19,2.175227165,,
015760 KS,OGS UN,3,18,2.171620131,,
015760 KS,OGE UN,3,17,2.200400829,,
015760 KS,UTL UN,3,17,2.166724205,,
036460 KS,MGEE UW,3,17,2.18361783,,
015760 KS,NJR UN,6,17,2.191338062,,
015760 KS,ED UN,3,16,2.192245007,,
036460 KS,NWN UN,3,16,2.211445808,,
036460 KS,CEG UW,0,15,2.126885891,,
036460 KS,EIX UN,0,15,2.171862125,,
036460 KS,MSEX UW,0,15,2.176419973,,
015760 KS,UGI UN,1,15,2.175400972,,
015760 KS,ES UN,3,14,2.208846807,,
015760 KS,SRE UN,1,14,2.20806098,,
036460 KS,CMS UN,3,13,2.173615694,,
036460 KS,PNM UN,0,13,2.203130245,,
015760 KS,MGEE UW,3,13,2.173062325,,
015760 KS,CNP UN,3,12,2.1925807,,
015760 KS,CEG UW,4,12,2.172045946,,
015760 KS,PNM UN,1,11,2.218141317,,
015760 KS,YORW UW,7,11,2.225061178,,
036460 KS,POR UN,0,11,2.202110052,,
015760 KS,NFG UN,7,10,2.204020262,,
015760 KS,WTRG UN,7,10,2.170350075,,
015760 KS,NOVA UN,7,9,2.157843828,,
015760 KS,PPL UN,3,8,2.19055891,,
015760 KS,AVA UN,3,8,2.206916094,,
036460 KS,ES UN,0,8,2.171197891,,
036460 KS,ED UN,1,7,2.178753138,,
015760 KS,OTTR UW,4,7,2.175810099,,
036460 KS,PCG UN,3,6,2.16880393,,
015760 KS,AEP UW,3,6,2.140300751,,
036460 KS,FE UN,0,6,2.172444105,,
015760 KS,SJW UN,1,6,2.175522089,,
015760 KS,D UN,7,6,2.187955141,,
015760 KS,AEP UW,3,6,2.150050163,,
036460 KS,PCYO UR,6,5,2.174869061,,
036460 KS,SJW UN,3,5,2.163570881,,
015760 KS,SWX UN,1,5,2.144478083,,
015760 KS,BIPC UN,5,4,2.118335962,,
015760 KS,ARTNA UW,4,4,2.173198938,,
036460 KS,BEPC UN,4,3,2.172261238,,
036460 KS,AES UN,0,3,2.154467106,,
036460 KS,BIPC UN,4,3,2.148020983,,
036460 KS,VST UN,4,3,2.176341057,,
015760 KS,ATO UN,3,3,2.179251909,,
036460 KS,OGS UN,4,3,2.187232018,,
036460 KS,CWEN UN,2,3,2.191127777,,
036460 KS,CPK UN,4,3,2.203579187,,
036460 KS,AES UN,0,3,2.176105976,,
015760 KS,FE UN,3,2,2.1750741,,
015760 KS,POR UN,7,2,2.186006784,,
015760 KS,CWT UN,3,1,2.17316699,,